thetaS,thetaR,thetaWp,thetaFc,par1,par2,par3,par4,par5,alphaSpecificStorage,betaSpecificStorage,Ks
#loam
0.39,0.02,nan,nan,0.4,0.2,0.8,-10.25,-1.4,0.0,0.0,0.0000981
#sandy-loam
0.2,0.04,nan,nan,0.5,0.4,0.9,-1.25,-0.04,0.0,0.0,0.0000981
#silt
0.5,0.01,nan,nan,0.45,0.3,0.8,-2.3,-0.5,0.0,0.0,0.000006
